NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 15369/W/2026;5907;5902650274570;BROKUŁY ŚWIEŻE BIO (około 0,50 kg);1.00;szt;7,68;7,68;5,00;8,06;8,06
FS 15369/W/2026;6560;5902650272804;BURAK CZERWONY ŚWIEŻY BIO (POLSKA) (około 1,00 kg);1.00;szt;3,61;3,61;5,00;3,79;3,79
FS 15369/W/2026;44638;5901866006432;CHLEB OWSIANY Z PESTKAMI DYNI BEZGLUTENOWY 420 g;2.00;szt;12,20;24,40;5,00;12,81;25,62
FS 15369/W/2026;32155;5907652545543;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU POMIDORA Z B;5.00;szt;3,19;15,95;5,00;3,35;16,75
FS 15369/W/2026;32156;5904730218344;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SERA I CEBULI;5.00;szt;2,89;14,45;5,00;3,03;15,17
FS 15369/W/2026;40541;5904730218139;CHRUPKI PIRAMIDKI PROTEINOWE O SMAKU SŁODKIEJ PAPR;18.00;szt;2,89;52,02;5,00;3,03;54,62
FS 15369/W/2026;10079;5902175866052;CIECIERZYCA W ZALEWIE BIO 350 g(230 g)(SŁOIK)BIOPL;3.00;szt;5,25;15,75;5,00;5,51;16,54
FS 15369/W/2026;6207;8713576114133;COCONUT MILK - NAPÓJ KOKOS BEZ GUMY 200- TERRASANA;3.00;szt;7,01;21,03;8,00;7,57;22,71
FS 15369/W/2026;1930;5903900368681;CYTRYNY ŚWIEŻE BIO (około 1,00 kg);2.00;szt;9,61;19,22;5,00;10,09;20,18
FS 15369/W/2026;6035;253720;CZOSNEK ŚWIEŻY BIO (około 0,20 kg);0.212;kg;38,03;8,06;5,00;39,93;8,46
FS 15369/W/2026;19104;5907814669476;DAKTYLE ŚWIEŻE Z PESTKĄ (NA GAŁĄZKACH) BIO PLANET;1.00;szt;8,51;8,51;5,00;8,94;8,94
FS 15369/W/2026;30159;7640230491785;DESEREK JABŁKO - BRZOSKWINIA BEZGLUTENOWY OD 5 MIE;4.00;szt;5,23;20,92;5,00;5,49;21,97
FS 15369/W/2026;20414;8699367125673;FARBA DO WŁOSÓW CZEKOLADOWY BRĄZ 66.07 - BIOMAGIC;2.00;szt;16,45;32,90;23,00;20,23;40,47
FS 15369/W/2026;1900;8437010207815;GAZPACHO (HISZPAŃSKA ZUPA WARZYWNA) BIO 1 L - BIOS;5.00;szt;11,43;57,15;5,00;12,00;60,01
FS 15369/W/2026;21461;4012346520407;HERBATA CZARNA CEJLOŃSKA LIŚCIASTA BIO 75 g -;2.00;szt;13,35;26,70;23,00;16,42;32,84
FS 15369/W/2026;5071;4012346523804;HERBATA EARL GREY LIŚCIASTA BIO 100 g - LEBENSBAUM;1.00;szt;17,68;17,68;23,00;21,75;21,75
FS 15369/W/2026;6134;5907814662392;KALAFIOR ŚWIEŻY BIO (około 0,70 kg);1.00;szt;9,25;9,25;5,00;9,71;9,71
FS 15369/W/2026;4544;5907814664563;KASZA JAGLANA BEZGLUTENOWA BIO 1 kg - BIO PLANET;2.00;szt;7,50;15,00;5,00;7,88;15,75
FS 15369/W/2026;11341;5907222061053;KASZKA 5 ZBÓŻ BEZ DODATKU CUKRÓW BIO 200 g - HELPA;2.00;szt;12,33;24,66;5,00;12,95;25,89
FS 15369/W/2026;46640;5903853400230;KASZKA KUKURYDZIANA BEZ DODATKU CUKRÓW BIO 200 g;4.00;szt;4,08;16,32;5,00;4,28;17,14
FS 15369/W/2026;25621;7640104951308;KASZKA MANNA PEŁNOZIARNISTA BEZ DODATKU CUKRÓW OD;2.00;szt;9,18;18,36;5,00;9,64;19,28
FS 15369/W/2026;17630;8437015393155;KOKOS KAWAŁKI ŚWIEŻE BEZGLUTENOWE BIO 100 g - GENU;3.00;szt;5,61;16,83;5,00;5,89;17,67
FS 15369/W/2026;19100;8437015393285;KOKOS MŁODY BIO ZE SŁOMKĄ (około 0,80 kg) - GENUIN;2.00;szt;10,63;21,26;5,00;11,16;22,32
FS 15369/W/2026;47795;5903933645414;MAKARON (SUCHY KONJAC) FETTUCINE BEZGLUTENOWY BIO;1.00;szt;8,25;8,25;5,00;8,66;8,66
FS 15369/W/2026;47796;5903933645407;MAKARON (SUCHY KONJAC) SPAGHETTI BEZGLUTENOWY BIO;1.00;szt;8,25;8,25;5,00;8,66;8,66
FS 15369/W/2026;6256;5902650272828;MARCHEW ŚWIEŻA NIEMYTA BIO (POLSKA) (około 0,90 kg;2.00;szt;4,77;9,54;5,00;5,01;10,02
FS 15369/W/2026;345;5907814661074;MĄKA AMARANTUSOWA BIO 400 g - BIO PLANET;2.00;szt;7,65;15,30;5,00;8,03;16,07
FS 15369/W/2026;1510;8009004200371;MĄKA PSZENNA TYP 0 NA PIZZĘ BIO 1 kg - ALCE NERO;3.00;szt;6,93;20,79;5,00;7,28;21,83
FS 15369/W/2026;43284;5902560392166;MIESZANKA UNIWERSALNA BEZGLUTENOWA 1 kg - GRANO;5.00;szt;7,10;35,50;5,00;7,46;37,28
FS 15369/W/2026;9055;8009004811010;OCET BALSAMICZNY Z MODENY PREMIUM FILTROWANY BIO 2;1.00;szt;44,84;44,84;23,00;55,15;55,15
FS 15369/W/2026;4869;8011845005176;OLIWA Z OLIWEK EXTRA VIRGIN BIO 250 ml - LEVANTE;1.00;szt;17,98;17,98;5,00;18,88;18,88
FS 15369/W/2026;9043;4012346153605;OREGANO BIO 15 g - LEBENSBAUM;3.00;szt;5,65;16,95;5,00;5,93;17,80
FS 15369/W/2026;2732;5907814661302;ORZECHY BRAZYLIJSKIE BIO 150 g - BIO PLANET;1.00;szt;17,48;17,48;5,00;18,35;18,35
FS 15369/W/2026;384;5902605415355;ORZECHY LASKOWE BIO 1 kg - BIO PLANET;1.00;szt;70,50;70,50;5,00;74,03;74,03
